timestamp,gold price per 10 grams
01-07-2020 16:39:39,48710.0
01-07-2020 16:39:44,48710.0
01-07-2020 16:39:49,48710.0
2020-07-01 16:40:38,48710.0
2020-07-01 16:40:43,48710.0
2020-07-01 16:40:48,48710.0
2020-07-01 16:40:53,48710.0
2020-07-01 16:40:58,48710.0
2020-07-01 16:41:03,48710.0
2020-07-01 16:41:08,48710.0
2020-07-01 16:41:13,48710.0
2020-07-01 16:41:19,48710.0
2020-07-01 16:41:24,48710.0
2020-07-01 16:41:29,48710.0
2020-07-01 16:41:34,48710.0
2020-07-01 16:41:39,48710.0
2020-07-01 16:41:44,48710.0
2020-07-01 16:41:49,48710.0
2020-07-01 16:41:54,48710.0
2020-07-01 16:41:59,48710.0
2020-07-01 16:42:04,48710.0
2020-07-01 16:42:09,48710.0
2020-07-01 16:42:14,48710.0
2020-07-01 16:42:19,48710.0
2020-07-01 16:42:24,48710.0
2020-07-01 16:42:30,48710.0
2020-07-01 16:42:35,48710.0
2020-07-01 16:42:40,48710.0
2020-07-01 16:42:45,48710.0
2020-07-01 16:42:50,48710.0
2020-07-01 16:42:55,48710.0
2020-07-01 16:43:00,48710.0
2020-07-01 16:43:05,48710.0
2020-07-01 16:43:10,48710.0
2020-07-01 16:43:15,48710.0
2020-07-01 16:43:20,48710.0
2020-07-01 16:43:25,48710.0
2020-07-01 16:43:31,48710.0
2020-07-01 16:43:36,48710.0
2020-07-01 16:43:41,48710.0
2020-07-01 16:43:46,48710.0
2020-07-01 16:43:51,48710.0
2020-07-01 16:43:56,48710.0
2020-07-01 16:44:01,48710.0
2020-07-01 16:44:06,48710.0
2020-07-01 16:44:11,48710.0
2020-07-01 16:44:16,48710.0
2020-07-01 16:44:21,48710.0
2020-07-01 16:44:26,48710.0
2020-07-01 16:44:31,48710.0
2020-07-01 16:44:36,48710.0
2020-07-01 16:44:42,48710.0
2020-07-01 16:44:47,48710.0
2020-07-01 16:44:52,48710.0
2020-07-01 16:44:57,48710.0
2020-07-01 16:45:02,48710.0
2020-07-01 16:45:07,48710.0
2020-07-01 16:45:12,48710.0
2020-07-01 16:45:17,48710.0
2020-07-01 16:45:22,48710.00
